OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,FullAddress,Latitude,Longitude
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",40.786184,-73.981448
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",40.786184,-73.981448
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,"I-81N, EXIT 2W & I-81S, EXIT 3, Binghamton, NY",40.786184,-73.981448
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,"I-295, EXIT 25, Jacksonville, FL",30.33218,-81.65565
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,"I-87, EXIT 16, Gansevoort , NY",40.782213,-73.959921
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,"I-87, EXIT 16, Gansevoort , NY",40.782213,-73.959921
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,"I-94, EXIT 5, Hammond, IN",41.570648,-87.4365826
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,"US-69 & US-135, Jacksonville, TX",32.0034517,-95.2768882
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,"I-8, EXIT 12, Yuma, AZ",32.713066,-114.623342
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,"I-71, EXIT 131, Sunbury, OH",40.349882,-82.921326
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,"I-71, EXIT 209, Seville, OH",41.091554,-81.812593
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,"I-70, EXIT 126 & SR-37, Hebron, OH",40.493879,-82.30637
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,"I-80 & I-280, EXIT 71, Perrysburg , OH",41.647825,-84.005384
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,"I-40 & I-35, EXIT 127, Oklahoma City, OK",35.466955,-97.463967
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,"I-40, EXIT 166, Choctaw, OK",35.405997,-97.295418
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,"I-16, EXIT 51, Dublin , GA",32.56805,-82.801245
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,"US-385 & SR-2, Alliance, NE",42.0978448,-102.898413
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,"I-95, EXIT 104 & SR-207, Ruther Glen, VA",30.712163,-87.336204
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,"US-24, Woodburn , IN",41.1253271,-84.8532963
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,"I-29 EXIT 110, Rock Port, MO",37.894437,-93.54436
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,"I-20 EXIT 44, Gilbert, SC",34.072987,-80.100133
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,"I-26, EXIT 145 & US-601, Orangeburg, SC",33.475771,-80.752691
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,"US-160 & SR-17, Alamosa, CO",37.5063363,-105.9680486
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,"I-20, EXIT 169 & US-80, Toomsuba, MS",32.350009,-88.736795
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,"I-29, EXIT 215, Pembina , ND",48.709312,-97.190047
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,"US-54/SR-136/SR-3 & US-64, Guymon, OK",36.729713,-101.426147
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,"I-35 N, EXIT 4, Laredo , TX",27.502839,-99.507542
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,"US-87 & US-191, Moore, MT",46.974485,-109.693316
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,"I-75, EXIT 117, Heiskell, TN",35.770302,-84.358212
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,"I-40 & I-75, EXIT 374, Knoxville, TN",36.169657,-86.585353
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn, TX",31.082862,-104.074381
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn, TX",31.082862,-104.074381
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,"I-70 & ST-285, EXIT 186, Lore City , OH",40.063226,-80.999749
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,"I-985, EXIT 20 & SR-60, Gainesville, GA",34.678066,-84.535308
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,"US-45 ALT, West Point, MS",33.6067027,-88.6590591
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,"US-30, Wanatah, IN",41.4341225,-86.8934848
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,"I-80, EXIT 73, Peru, IL",41.375343,-88.699561
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,"I-80, EXIT 73, Peru, IL",41.375343,-88.699561
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,"I-80, EXIT 73, Peru, IL",41.375343,-88.699561
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,"I-80, EXIT 73, Peru, IL",41.375343,-88.699561
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,"I-40, EXIT 142, Maumelle, AR",34.274999,-92.483684
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,"I-80/I-94, EXIT 6, Gary, IN",41.598748,-87.275773
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,"I-10 & I-8, EXIT 203, Eloy, AZ",32.757429,-111.553725
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,"I-69, EXIT 309A, Fort Wayne , IN",40.996789,-85.265388
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,"I-69, EXIT 309A, Fort Wayne , IN",40.996789,-85.265388
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,"I-10, EXIT 76, Egan, LA",30.006111,-92.282386
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,"I-84, EXIT 17, Troutdale, OR",45.529207,-122.387544
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,"I-80, EXIT 104 & US-191, Rock Springs, WY",40.903106,-105.816358
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,"I-82, EXIT 80, Prosser, WA",46.076976,-119.222233
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,"I-82, EXIT 80, Prosser, WA",46.076976,-119.222233
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,"I-20/I-59, EXIT 77, Cottondale, AL",33.184136,-87.445165
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,"I-70, EXIT 58 & SR-23, Concordia, MO",38.624794,-90.187357
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,"I-80, EXIT 59 & SR-17J, Sidney, NE",40.821225,-96.967941
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,"I-89/SR-120, EXIT 18 & SR-120, Lebanon, NH",43.909948,-72.0766
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,"I-84, EXIT 5, Montgomery, NY",41.5170624,-74.1895675
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,"I-90, EXIT 218, Geneva, OH",41.752742,-80.900521
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,"TCH-16, Edmonton, AB",53.55014,-113.46871
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,"TCH-16, Edmonton, AB",53.55014,-113.46871
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,"TCH-16, Edmonton, AB",53.55014,-113.46871
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,"TCH-16, Edmonton, AB",53.55014,-113.46871
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,"TCH-16, Edmonton, AB",53.55014,-113.46871
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,"TCH-16, Edmonton, AB",53.55014,-113.46871
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,"I-5, EXIT 233 E, Albany, OR",44.730447,-123.053546
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,"I-40, EXIT 126 & US-641, Holladay, TN",36.169657,-86.585353
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,"I-40 & I-75, EXIT 374, Knoxville, TN",36.169657,-86.585353
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,"HWY 2 SOUTH, Nanton, AB",50.35008,-113.76866
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,"I-10, EXIT 4, Canutillo, TX",32.646341,-97.223953
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,"I-295/US-130,EXIT 22, Thorofare, NJ",39.852654,-75.170005
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,"I-29, EXIT 207 & US-12, Summit, SD",44.383766,-97.249895
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,"I-86/SR-17, EXIT 16, Randolph, NY",40.780857,-73.958813
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,"I-235, EXIT 4, Wichita, KS",37.693413,-97.484456
692,BP,US-63,Ottumwa,IA,489,3.399,"US-63, Ottumwa, IA",41.008981,-92.388691
739,Arco #364420,US-23,Greenup,KY,255,3.649,"US-23, Greenup, KY",38.7249944,-82.9979234
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,"US-85, Evans, CO",40.3665397,-104.6965452
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,"US-61/US-136, Alexandria, MO",40.370004,-91.451754
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,"US-18/SR-151, EXIT 58, Barneveld, WI",44.367384,-89.752682
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,"US-41 & SR-137, North Chicago, IL",42.324027,-87.856704
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,"US-41 & SR-137, North Chicago, IL",42.324027,-87.856704
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,"US-41 & SR-137, North Chicago, IL",42.324027,-87.856704
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,"US-301/SR-73, Sylvania, GA",32.743851,-81.628687
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,"I-40, EXIT 280, West Memphis, AR",35.167542,-90.202225
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,"I-40, EXIT 280, West Memphis, AR",35.167542,-90.202225
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,"I-65, EXIT 246 & SR-119, Pelham, AL",33.293157,-86.767961
